Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A Clinically Applicable Approach to Continuous Prediction of Future Acute Kidney Injury","Our deep learning approach accurately predicts future acute kidney injury in patients, potentially aiding in early treatment identification.","Nenad Tomašev, Xavier Glorot, Jack W. Rae, Michal Zielinski, Harry Askham, Andre Saraiva, A. Mottram, Clemens Meyer, Suman V. Ravuri, Ivan V. Protsyuk, Alistair Connell, Cían O. Hughes, A. Karthikesalingam, Julien Cornebise, Hugh Montgomery, G. Rees, C. Laing, Clifton Baker, Kelly S. Peterson, R. Reeves, D. Hassabis, Dominic King, Mustafa Suleyman, T. Back, C. Nielson, J. Ledsam, S. Mohamed",2019,925,"The early prediction of deterioration could have an important role in supporting healthcare professionals, as an estimated 11% of deaths in hospital follow a failure to promptly recognize and treat deteriorating patients1. To achieve this goal requires predictions of patient risk that are continuously updated and accurate, and delivered at an individual level with sufficient context and enough time to act. Here we develop a deep learning approach for the continuous risk prediction of future deterioration in patients, building on recent work that models adverse events from electronic health records2-17 and using acute kidney injury-a common and potentially life-threatening condition18-as an exemplar. Our model was developed on a large, longitudinal dataset of electronic health records that cover diverse clinical environments, comprising 703,782 adult patients across 172 inpatient and 1,062 outpatient sites. Our model predicts 55.8% of all inpatient episodes of acute kidney injury, and 90.2% of all acute kidney injuries that required subsequent administration of dialysis, with a lead time of up to 48 h and a ratio of 2 false alerts for every true alert. In addition to predicting future acute kidney injury, our model provides confidence assessments and a list of the clinical features that are most salient to each prediction, alongside predicted future trajectories for clinically relevant blood tests9. Although the recognition and prompt treatment of acute kidney injury is known to be challenging, our approach may offer opportunities for identifying patients at risk within a time window that enables early treatment.","theoretical, modeling, or simulation study","Nature","1","10.1038/s41586-019-1390-1","https://consensus.app/papers/a-clinically-applicable-approach-to-continuous-tomaev-glorot/5796313001105d4fa2b06b1addab8bca/"
"Drug-Induced Acute Kidney Injury Risk Prediction Models","Drug-induced acute kidney injury risk prediction models require a high-quality dataset and expert review to effectively identify high-risk patients, identify new risk factors, and apply preventative strategies.","Zaid K. Yousif, L. Awdishu",2022,8,"Background: Acute kidney injury (AKI) risk prediction models can predict AKI with short lead times and excellent model performance. However, these prediction models have not ascertained the etiology of the AKI. Drugs are an important contributor to AKI, and it is difficult to distinguish drug causes from other etiologies.

Summary: Clinical adjudication of AKI etiology can reduce misclassification associated with temporal relationships, since expert adjudicators are trained to assess an outcome in a consistent manner using standardized definitions. Drug-induced acute kidney injury (DI-AKI) varies by drug and is heterogeneous in onset and mechanisms, limiting a universal approach to risk prediction and necessitating expert review. DI-AKI models should be constructed using a high-quality prospective dataset to maximize model performance, internal and external validity. Predictor selection and engineering requires careful attention to unique issues arising from interactions such as drug dose and concentrations. Various statistical methods, such as least absolute shrinkage and selection operator regression or advanced machine learning techniques, may be applied to perform feature selection and capture trends and interactions between predictors. Finally, the model should be carefully evaluated by internal and external validation.

Key messages: The development of DI-AKI risk prediction models is needed to identify high-risk patients, identify new risk factors, formulate, and apply preventative strategies. DI-AKI risk prediction models require a well-defined dataset of clinically adjudicated cases to improve model performance, validity, and reduce the risk of misclassification.

© 2022 S. Karger AG, Basel.","literature review","Nephron","1","10.1159/000526267","https://consensus.app/papers/druginduced-acute-kidney-injury-risk-prediction-models-yousif-awdishu/ba79badcef7950d1846b1ab2f629fffc/"
"Harnessing the power of synthetic data in healthcare: innovation, application, and privacy","Synthetic data can improve healthcare, but responsible use requires measures to protect patient well-being and ethical standards.","M. Giuffré, D. Shung",2023,352,"Data-driven decision-making in modern healthcare underpins innovation and predictive analytics in public health and clinical research. Synthetic data has shown promise in finance and economics to improve risk assessment, portfolio optimization, and algorithmic trading. However, higher stakes, potential liabilities, and healthcare practitioner distrust make clinical use of synthetic data difficult. This paper explores the potential benefits and limitations of synthetic data in the healthcare analytics context. We begin with real-world healthcare applications of synthetic data that informs government policy, enhance data privacy, and augment datasets for predictive analytics. We then preview future applications of synthetic data in the emergent field of digital twin technology. We explore the issues of data quality and data bias in synthetic data, which can limit applicability across different applications in the clinical context, and privacy concerns stemming from data misuse and risk of re-identification. Finally, we evaluate the role of regulatory agencies in promoting transparency and accountability and propose strategies for risk mitigation such as Differential Privacy (DP) and a dataset chain of custody to maintain data integrity, traceability, and accountability. Synthetic data can improve healthcare, but measures to protect patient well-being and maintain ethical standards are key to promote responsible use.

© 2023. Springer Nature Limited.","literature review","NPJ Digital Medicine","1","10.1038/s41746-023-00927-3","https://consensus.app/papers/harnessing-the-power-of-synthetic-data-in-healthcare-giuffr-shung/9499e0a992115b3a9c7982a4f4084453/"
"Preserving privacy in healthcare: A systematic review of deep learning approaches for synthetic data generation","Deep learning techniques like GANs and VAEs show potential for privacy-preserving synthetic data generation in healthcare, but ongoing research is needed to improve data quality and privacy.","Yintong Liu, U. R. Acharya, Jen Hong Tan",2024,51,"","systematic review","Computer methods and programs in biomedicine","1","10.1016/j.cmpb.2024.108571","https://consensus.app/papers/preserving-privacy-in-healthcare-a-systematic-review-of-liu-acharya/0343bf956be05d1dbd9061e914a93e85/"
"A continual prediction model for inpatient acute kidney injury","The continual prediction model for acute kidney injury (AKI) from electronic health records (EHR) data outperforms one-time prediction models in predicting the condition during hospital stays.","Rohit J. Kate, Noah Pearce, Debesh Mazumdar, V. Nilakantan",2020,46,"","theoretical, modeling, or simulation study","Computers in biology and medicine","1","10.1016/j.compbiomed.2019.103580","https://consensus.app/papers/a-continual-prediction-model-for-inpatient-acute-kidney-kate-pearce/35497be218a457d6a1c70ce4de5b1aa4/"
"Time Series AI Model for Acute Kidney Injury Detection Based on a Multicenter Distributed Research Network: Development and Verification Study","An IMV-LSTM model using EHR-based time series data can effectively detect early acute kidney injury (AKI) in patients taking nephrotoxic drugs, aiding in early drug reaction identification.","S. Heo, E. Kang, J. Yu, H. Kim, Suehyun Lee, K. Kim, Y. Hwangbo, Rae Woong Park, Hyunah Shin, Kyeongmin Ryu, Chungsoo Kim, Hyojung Jung, Yebin Chegal, Jae-Hyun Lee, Y. Park",2023,7,"Background: Acute kidney injury (AKI) is a marker of clinical deterioration and renal toxicity. While there are many studies offering prediction models for the early detection of AKI, those predicting AKI occurrence using distributed research network (DRN)-based time series data are rare.

Objective: In this study, we aimed to detect the early occurrence of AKI by applying an interpretable long short-term memory (LSTM)-based model to hospital electronic health record (EHR)-based time series data in patients who took nephrotoxic drugs using a DRN.

Methods: We conducted a multi-institutional retrospective cohort study of data from 6 hospitals using a DRN. For each institution, a patient-based data set was constructed using 5 drugs for AKI, and an interpretable multivariable LSTM (IMV-LSTM) model was used for training. This study used propensity score matching to mitigate differences in demographics and clinical characteristics. Additionally, the temporal attention values of the AKI prediction model's contribution variables were demonstrated for each institution and drug, with differences in highly important feature distributions between the case and control data confirmed using 1-way ANOVA.

Results: This study analyzed 8643 and 31,012 patients with and without AKI, respectively, across 6 hospitals. When analyzing the distribution of AKI onset, vancomycin showed an earlier onset (median 12, IQR 5-25 days), and acyclovir was the slowest compared to the other drugs (median 23, IQR 10-41 days). Our temporal deep learning model for AKI prediction performed well for most drugs. Acyclovir had the highest average area under the receiver operating characteristic curve score per drug (0.94), followed by acetaminophen (0.93), vancomycin (0.92), naproxen (0.90), and celecoxib (0.89). Based on the temporal attention values of the variables in the AKI prediction model, verified lymphocytes and calcvancomycin ium had the highest attention, whereas lymphocytes, albumin, and hemoglobin tended to decrease over time, and urine pH and prothrombin time tended to increase.

Conclusions: Early surveillance of AKI outbreaks can be achieved by applying an IMV-LSTM based on time series data through an EHR-based DRN. This approach can help identify risk factors and enable early detection of adverse drug reactions when prescribing drugs that cause renal toxicity before AKI occurs.

© Suncheol Heo, Eun-Ae Kang, Jae Yong Yu, Hae Reong Kim, Suehyun Lee, Kwangsoo Kim, Yul Hwangbo, Rae Woong Park, Hyunah Shin, Kyeongmin Ryu, Chungsoo Kim, Hyojung Jung, Yebin Chegal, Jae-Hyun Lee, Yu Rang Park. Originally published in JMIR Medical Informatics (https://medinform.jmir.org).","theoretical, modeling, or simulation study","JMIR Medical Informatics","2","10.2196/47693","https://consensus.app/papers/time-series-ai-model-for-acute-kidney-injury-detection-heo-kang/b439e597b5885b6a998a604fa75e8728/"
"Development and validation of a real-time prediction model for acute kidney injury in hospitalized patients","A simple, real-time prediction model for acute kidney injury in hospitalized patients has been developed and validated, potentially aiding in early AKI prevention.","Yuhui Zhang, Damin Xu, Jianwei Gao, Ruiguo Wang, Kun Yan, Hong Liang, Juan Xu, Youlu Zhao, Xizi Zheng, Lingyi Xu, Jinwei Wang, Fude Zhou, G. Zhou, Qingqing Zhou, Zhao Yang, XiaoLi Chen, Yulan Shen, Tianrong Ji, Yunlin Feng, Ping Wang, Jundong Jiao, Li Wang, Jicheng Lv, Li Yang",2025,34,"Early prediction of acute kidney injury (AKI) may provide a crucial opportunity for AKI prevention. To date, no prediction model targeting AKI among general hospitalized patients in developing countries has been published. Here we show a simple, real-time, interpretable AKI prediction model for general hospitalized patients developed from a large tertiary hospital in China, which has been validated across five independent, geographically distinct, different tiered hospitals. The model containing 20 readily available variables demonstrates consistent, high levels of predictive discrimination in validation cohort, with AUCs for serum creatinine-based AKI and severe AKI within 48 h ranging from 0.74-0.85 and 0.83-0.90 for transported models and from 0.81-0.90 and 0.88-0.95 for refitted models, respectively. With optimal probability cutoffs, the refitted model could predict AKI at a median of 72 (24-198) hours in advance in internal validation, and 54-90 h in advance in external validation. Broad application of the model in the future may provide an effective, convenient and cost-effective approach for AKI prevention.

© 2024. The Author(s).","theoretical, modeling, or simulation study","Nature Communications","1","10.1038/s41467-024-55629-5","https://consensus.app/papers/development-and-validation-of-a-realtime-prediction-model-zhang-xu/fea5011eefc153c0a57ec7b303445fb4/"
"Prediction of Cisplatin‐Induced Acute Kidney Injury Using an Interpretable Machine Learning Model and Electronic Medical Record Information","Our predictive model can accurately predict cisplatin-induced acute kidney injury early, suggesting the need for magnesium preparations to prevent AKI.","Kaori Ambe, Yuka Aoki, M. Murashima, C. Wachino, Yuto Deki, Masaya Ieda, Masahiro Kondo, Yoko Furukawa-Hibi, K. Kimura, Takayuki Hamano, Masahiro Tohkin",2025,4,"Predicting cisplatin-induced acute kidney injury (Cis-AKI) before its onset is important. We aimed to develop a predictive model for Cis-AKI using patient clinical information based on an interpretable machine learning algorithm. This single-center retrospective study included hospitalized patients aged ≥ 18 years who received the first course of cisplatin chemotherapy from January 1, 2011, to December 31, 2020, at Nagoya City University Hospital. Cis-AKI-positive patients were defined using the serum creatinine criteria of the Kidney Disease Improving Global Outcomes guideline within 14 days of the last day of cisplatin administration in the first course. Patients who received cisplatin but did not develop AKI were considered negative. The CatBoost classification model was constructed with 29 explanatory variables, including laboratory values, concomitant medications, medical history, and cisplatin administration information. In total, 1253 patients were included, of whom 119 developed Cis-AKI (9.5%). The median time of AKI onset was 7 days, and the interquartile range was 5-8 days. The mean ± standard deviation of the total cisplatin dose in the initial treatment was 77.9 ± 27.1 mg/m2 in Cis-AKI-positive patients and 69.3 ± 22.6 mg/m2 in Cis-AKI-negative patients. The predictive performance was an ROC-AUC of 0.78. Model interpretation using SHapley Additive exPlanations showed that concomitant use of intravenous magnesium preparations was negatively correlated with Cis-AKI, whereas loop diuretics were positively correlated. This suggests the need for magnesium preparations to prevent AKI, although the effects of diuretics may be small. Our model can predict Cis-AKI early and may be helpful for its avoidance.

© 2025 The Author(s). Clinical and Translational Science published by Wiley Periodicals LLC on behalf of American Society for Clinical Pharmacology and Therapeutics.","theoretical, modeling, or simulation study","Clinical and Translational Science","1","10.1111/cts.70115","https://consensus.app/papers/prediction-of-cisplatininduced-acute-kidney-injury-using-ambe-aoki/39985c96882252d3bea4da645664260e/"
"An Ensemble Machine Learning Model for Early Prediction of Vancomycin-Induced Acute Kidney Injury in ICU Patients","The stacking ensemble machine learning model effectively predicts acute kidney injury in ICU patients, using creatinine, glucose variability, and patient age as key predictors.","Faezeh Aghamirzaei, A. A. Abin, Farzaneh Futuhi",2025,3,"Introduction: Acute Kidney Injury (AKI) is a severe complication of vancomycin treatment due to its nephrotoxic effects. However, research on predicting AKI in this high-risk group remains limited. This study presents a stacking ensemble machine learning model designed to predict the onset of AKI in this patient population.

Methods: Leveraging data from 314 ICU patients, the model incorporates SHapley Additive exPlanations (SHAP) for enhanced interpretability, identifying key predictors such as serum creatinine levels, glucose variability, and patient age. The model achieved an Area Under the Curve (AUC) of 0.94, outperforming existing predictive approaches. By utilizing readily available clinical data and determining an optimal temporal prediction window, this model facilitates proactive clinical decision-making, aiming to reduce the risk of AKI and improve patient outcomes.

Results: The stacking ensemble model achieved 92\% accuracy, 93\% precision, 92\% sensitivity, and 0.94 AUC in 314 ICU patients, pinpointing creatinine, glucose variability, and age as critical AKI predictors.

Conclusion: The findings suggest that integrating advanced machine learning techniques with interpretable artificial intelligence (AI) can provide a scalable and cost-effective solution for early AKI detection in diverse healthcare settings.","theoretical, modeling, or simulation study","Archives of Academic Emergency Medicine","1","10.22037/aaemj.v13i1.2560","https://consensus.app/papers/an-ensemble-machine-learning-model-for-early-prediction-of-aghamirzaei-abin/8c515dbcf470535d9f3c18a2d2bbaa44/"
"Artificial intelligence models for predicting acute kidney injury in the intensive care unit: a systematic review of modeling methods, data utilization, and clinical applicability","AI models show promise in predicting acute kidney injury in ICUs, but challenges remain in external validation, dynamic modeling, interpretability, and clinical integration.","Tongyue Shi, Yu Lin, Huiying Zhao, Guilan Kong",2025,15,"Objectives: Acute kidney injury (AKI) is common in intensive care unit (ICU) patients and is associated with high mortality, prolonged ICU stays, and increased costs. Early prediction is crucial for timely intervention and improved outcomes. Various prediction models, including machine learning, deep learning, and dynamic prediction frameworks, have been developed, but their modeling approaches, data utilization, and clinical applicability require further investigation. This review comprehensively assesses the modeling methods, data utilization strategies, and clinical applicability of AKI prediction models in the ICU, identifies current challenges, and proposes future research directions.

Materials and Methods: A systematic search was conducted in PubMed, Embase, Scopus, Web of Science, IEEE Xplore, and ACM Digital Library up to December 12, 2024. Studies were included if they reported AKI prediction models using ICU-specific data, included at least 2 predictors, and evaluated model performance. Extracted data included study characteristics, model details, data sources, performance metrics, and validation methods. The risk of bias was assessed using PROBAST (Prediction Model Risk of Bias Assessment Tool), and the reporting quality was evaluated using the TRIPOD (Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis) guideline.

Results: From 1305 screened studies, 47 met the inclusion criteria. Models ranged from machine learning to advanced deep learning techniques. Only 14 studies conducted external validation. Most studies (n = 44) had a high risk of bias, particularly in generalizability and clinical applicability.

Discussion: Although AI models have shown promise in predicting AKI in ICU settings, key challenges remain. These include limited external validation, lack of dynamic modeling, insufficient interpretability, and poor consideration of clinical integration. Different study designs, prediction windows, and data sources also hinder model comparability.

Conclusions: Future research should prioritize dynamic, interpretable, and externally validated models. These efforts are critical to bridge the gap between model development and clinical implementation and to enhance the real-world applicability of AI in AKI prediction.

© The Author(s) 2025. Published by Oxford University Press on behalf of the American Medical Informatics Association.","systematic review","JAMIA Open","2","10.1093/jamiaopen/ooaf065","https://consensus.app/papers/artificial-intelligence-models-for-predicting-acute-shi-lin/5aa61637d6d25119874b40f4dc2aeba7/"
